institution,unitid,page_type,original_url,timestamp,ai_addressed,n_ai_terms,text_len,prohibition,prohibition_present,detector_surveillance,detector_surveillance_present,misconduct_framing,misconduct_framing_present,sanction,sanction_present,permitted_use,permitted_use_present,disclosure,disclosure_present,appeal,appeal_present,l2_protection,l2_protection_present,restrictive_idx,procedural_idx,net_restrictiveness,ai_governance_intensity
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20241113004829,1,51,1510,5,1,3,1,11,1,0,0,2,1,0,0,0,0,0,0,3,1,2,4
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20241203111612,1,51,1510,5,1,3,1,11,1,0,0,2,1,0,0,0,0,0,0,3,1,2,4
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20211005185614,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20211018191313,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20220216214222,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20220615013243,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20220805203243,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20221002152444,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20221126170728,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20230327161227,1,2,421,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20230515103010,1,2,439,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20230613000651,1,2,433,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20230903203753,1,3,432,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20240111200443,1,3,414,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20240304041017,1,3,414,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20240616114848,1,3,414,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20240812143618,1,3,407,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
University of British Columbia,9000008,integrity,https://academicintegrity.ubc.ca/,20241121114732,1,3,410,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
University of British Columbia,9000008,ai,https://academicintegrity.ubc.ca/2023/02/15/the-opportunities-of-chatgpt/,20230714035310,1,21,1164,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2
University of British Columbia,9000008,ai,https://academicintegrity.ubc.ca/2023/02/15/the-opportunities-of-chatgpt/,20240201153725,1,22,1170,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2
University of British Columbia,9000008,ai,https://academicintegrity.ubc.ca/2023/02/15/the-opportunities-of-chatgpt/,20240530224518,1,22,1170,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2
University of Guelph,9000009,integrity,https://academicintegrity.uoguelph.ca/,20210125003140,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Guelph,9000009,integrity,https://academicintegrity.uoguelph.ca/,20210302224916,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
